expression	gene	type
5.40311874070274	CAV1	N
3.68324729644458	CAV1	N
5.20048709021835	CAV1	N
5.09590501519789	CAV1	N
6.08215393905566	CAV1	N
4.47089798171054	CAV1	N
3.39069175778753	CAV1	N
3.73210744358562	CAV1	N
2.7675427255031	CAV1	N
5.43938311164208	CAV1	N
3.62840500193314	CAV1	N
4.69443338947866	CAV1	N
4.4534938743099	CAV1	N
4.01037794030178	CAV1	N
3.99577664635162	CAV1	N
4.32596775082747	CAV1	N
5.74278207078312	CAV1	N
5.47002529118073	CAV1	N
4.62493959024942	CAV1	N
4.67761817380626	CAV1	N
5.87991990043504	CAV1	N
3.2213597520099	CAV1	N
4.45630282628639	CAV1	N
3.7598695462105	CAV1	N
3.91847878532617	CAV1	N
2.83658707666622	CAV1	N
5.46328894546704	CAV1	N
2.94803599283472	CAV1	N
4.20776091083447	CAV1	N
5.33576120917992	CAV1	N
4.30997285562526	CAV1	N
2.0443028332206	CAV1	N
4.44665258568148	CAV1	N
5.11926444926636	CAV1	N
5.33171990417161	CAV1	N
5.65574536732995	CAV1	N
4.74442377134989	CAV1	N
5.02547757298719	CAV1	N
3.32758663065701	CAV1	N
4.59545890379921	CAV1	N
4.01781503773973	CAV1	N
2.95069870439529	CAV1	N
4.50585155987388	CAV1	N
3.51328228509762	CAV1	N
4.68488436410091	CAV1	T
7.96757730554549	CAV1	T
3.63322891661101	CAV1	T
6.93193475040773	CAV1	T
7.1168679153075	CAV1	T
3.86873713235577	CAV1	T
3.69706986704288	CAV1	T
8.73304922716395	CAV1	T
7.33818816571677	CAV1	T
7.08881685387195	CAV1	T
6.71456699674033	CAV1	T
6.94457151769481	CAV1	T
5.37722858023465	CAV1	T
6.52534180201378	CAV1	T
5.30339354261471	CAV1	T
6.21982716854994	CAV1	T
6.01647158242053	CAV1	T
6.43497910177099	CAV1	T
3.40928312035739	CAV1	T
4.42934212741607	CAV1	T
6.99039219035649	CAV1	T
5.90575113801364	CAV1	T
5.55842346854569	CAV1	T
5.60849258366612	CAV1	T
5.45940801070711	CAV1	T
7.61146602478263	CAV1	T
5.47280259555461	CAV1	T
6.43142522741548	CAV1	T
7.64710652425114	CAV1	T
5.25633627233441	CAV1	T
4.5547171537441	CAV1	T
4.35459673315726	CAV1	T
5.17365635135241	CAV1	T
4.84030258977137	CAV1	T
8.44119461950719	CAV1	T
3.82178469453928	CAV1	T
6.29552265672011	CAV1	T
6.95449528958688	CAV1	T
7.40184631545701	CAV1	T
3.01387669593931	CAV1	T
6.49387978075783	CAV1	T
6.03990802083945	CAV1	T
7.43227630313543	CAV1	T
5.89318963042612	CAV1	T
6.37127482584696	CAV1	T
5.16597342295735	CAV1	T
4.43512849755131	CAV1	T
4.48640739767356	CAV1	T
4.70295059568236	CAV1	T
7.43099189333192	CAV1	T
6.81414149938175	CAV1	T
6.42075725197691	CAV1	T
5.77282735303274	CAV1	T
5.11622791709915	CAV1	T
7.0226962661999	CAV1	T
7.06015873847698	CAV1	T
6.07035798328364	CAV1	T
6.6690721325649	CAV1	T
6.54088590839223	CAV1	T
6.27418150930609	CAV1	T
5.49826618810178	CAV1	T
3.81694062966277	CAV1	T
5.72074633482988	CAV1	T
6.43052313745264	CAV1	T
3.5105695541177	CAV1	T
3.28804591978368	CAV1	T
5.33007503056651	CAV1	T
3.78976680477093	CAV1	T
6.90591283846567	CAV1	T
5.95106389286343	CAV1	T
4.80521247565442	CAV1	T
4.26390877468605	CAV1	T
5.29807686854894	CAV1	T
6.38873819432476	CAV1	T
8.51769615548789	CAV1	T
6.34817734673319	CAV1	T
5.11101795403948	CAV1	T
4.98559378349768	CAV1	T
5.76090832536158	CAV1	T
7.47050026039003	CAV1	T
